"STT","Loại vắc xin","Tên Thuốc","Sản xuất","Tình trạng","Nồng độ","Đơn vị","Giá mũi 1","Giá mũi 2+","Ghi chú"
"1","Huyết thanh kháng dại","IVACRIG","Việt Nam","Còn","1.000 IU","Lọ","526,686","476,686","Mũi 2+ không thu phí tư vấn"
"2","Huyết thanh kháng độc tố uốn ván","SAT","Việt Nam","Còn","1.500 IU","Ống","131,352","81,352"
"3","Vắc xin 6 trong 1","INFANRIX HEXA","Bỉ","Còn","0,5 ml","Lọ","1,042,204","992,204"
"4","Vắc xin 6 trong 1","HEXAXIM","Pháp","Còn","0,5 ml","Bơm Tiêm","1,013,150","963,150","Mũi 2+ không thu phí tư vấn"
"5","Vắc xin BH, HG, UV","Boostrix","Bỉ","Còn","0,5 ml","Hộp","694,500","644,500"
"6","Vắc xin BH, HG, UV","ADACEL","Canada","Còn","0,5 ml","Hộp","656,295","606,295"
"7","Vắc xin BH, HG, UV, Bại liệt","TETRAXIM","Pháp","Còn","0,5 ml","Liều","536,268","486,268","Mũi 2+ không thu phí tư vấn"
"8","Vắc xin cúm","VAXIGRIP TETRA","Pháp","Hết","0,5 ml","Bơm Tiêm","370,500","320,500"
"9","Vắc xin cúm","INFLUVAC TETRA","Hà Lan","Còn","0,5 ml","Bơm Tiêm","364,500","314,500"
"10","Vắc xin cúm","GCFLU Quadrivalent","Hàn Quốc","Hết","0,5 ml","Bơm Tiêm","355,640","305,640","Mũi 2+ không thu phí tư vấn"
"11","Vắc xin cúm","IVACFLU-S","Việt Nam","Hết","0,5 ml","Lọ","245,600","195,600"
"12","Vắc xin dại","VERORAB","Pháp","Còn","0,5 ml","Liều","380,890","330,890"
"13","Vắc xin dại","ABHAYRAB","Ấn Độ","Còn","0,5 ml","Lọ","286,340","236,340"
"14","Vắc xin dại","SPEEDA","Trung Quốc","Còn","0,5 ml","Lọ","260,300","210,300","Mũi 2+ không thu phí tư vấn"
"15","Vắc xin Hib","QUIMI-HIB","Cuba","Hết","0,5 ml","Lọ","290,750","240,750"
"16","Vắc xin HPV","GARDASIL 9","Mỹ","Còn","0,5 ml","Lọ","2,823,350","2,773,350"
"17","Vắc xin HPV","GARDASIL (4)","Mỹ","Còn","0,5 ml","Lọ","1,606,100","1,556,100"
